Village_Name,Hospital_Count,Pond_Count
Rengalbera,0,0
Rengha,0,0
Risor,0,56
River,3,23
Rodo,0,3
Roladih,0,6
Rongo,0,0
Rud,0,1
Ruiya,0,1
Rukotand,1,0
Rupapos,1,0
Ruppur,0,8
Sabaiya,0,1
Sabano,0,1
Sabda Chhota Gargram,0,14
Sadpatka,0,1
Saharpur,0,7
Sahera,0,0
Sahibganj,5,5
Sahri,0,7
Said Bazar,0,3
Saidpur,0,6
Saidpur Buzurg,0,3
Salalpur,0,13
Salapur,0,4
Saliburu,0,3
Salpatra,0,0
Samda,0,0
Samodh Tola,1,0
Sandi,0,0
Sandi Alias Tilaiya,1,0
Sangajuri,0,1
Sanjori,0,14
Saparom,0,1
Saraia,0,0
Saraibindha,0,2
Saraidih,0,1
Saram CT,0,0
Sarasbad,0,7
Sarath,1,6
Sardulla,0,0
Sarfarazganj,0,7
Sarhauwa,0,0
Sarita,1,0
Sarja,0,1
Sarkanda,0,4
Sarotiya,0,1
Sarse,0,1
Sarwa,1,0
Sasang,0,1
Sase,0,0
Satgachhi,0,11
Satgawan Alias Hariharganj CT,0,0
Satibera,0,4
Satichauki Panro,0,4
Satkanali,0,1
Satuaghor,0,2
Saunda Basti,2,10
Sekha Chak,0,1
Semarsot,0,2
Sembo,0,0
Semra,0,2
Semri,0,0
Senegutu,0,0
Senha,1,0
Seraikella,1,0
Serak,0,1
Serengbil,0,0
Serengdih,0,1
Sewta,2,0
Shah Pur CT,2,0
Shamjot,0,8
Shampur,0,1
Shyamdih,2,0
Shyampur,0,1
Sialgajra,0,1
Sialgudri CT,0,1
Siari,0,1
Sidpoki,0,2
Sigsiga Kalan,0,1
Sikaripara,1,0
Sikdardih,0,1
Sikni,0,2
Sildauri,0,1
Silidag,1,0
Silphori,0,1
Silwai,0,1
Simaldhab,0,24
Simdega,4,0
Simirtamadhupur,0,1
Simliya,1,1
Simra,0,11
Simraboj,0,0
Simuldan,0,5
Singa,0,4
Singdari,0,0
Singhpur,2,0
Sinjo,0,1
Sirka,0,1
Sirsiya Ct,1,0
Sisaljora,0,1
Sisri,0,1
Sitapahari,0,1
Sitla,0,0
Sitwa Junrormin,0,1
Siulibona,0,1
Siulidanga,1,2
Siwalibari Part,1,0
Sobhapur,0,19
Sogle,0,7
Sokha,0,1
Solpara,0,0
Somaraidih,0,3
Sonahara,0,4
Sonar Chak,0,0
Sonaraythari,0,6
Sonardih,0,2
Sonathar,1,0
Sosai,0,2
Soti,0,0
Sri Rampur,0,2
Srikund,0,2
Srikunth,1,7
Sukhahar,0,1
Sukhar,0,1
Sukrigarha,0,3
Sukurhuttu,0,3
Suli,0,0
Sulumjuri,0,0
Sundar Pahari,0,2
Sundi,0,6
Sundil,0,0
Sundna CT,2,0
Suranga CT,0,1
Susnigariya,0,0
Sutiambe,0,3
Talbana,0,2
Talbaria,0,26
Talberia,0,2
Taleya Khas,0,2
Taljhari,0,1
Tantnagar,0,0
Tarapdanda,0,1
Taratand,0,1
Tarkojori,1,0
Tarmi,0,1
Tasrar,0,0
Tatakjori,0,0
Tatanagar Rly Colony OG,0,0
Tati CT,0,1
Tau,0,0
Telabani,0,3
Telbhita,0,1
Telgaon,0,1
Telia Chak,1,0
Telo,0,1
Telonari,0,0
Temrain,0,0
Tenhra Alias Dhurki,0,0
Tentra,0,0
Tenudam Cum Kathhara CT,0,0
Tetar,0,0
Tetardih,0,2
Tetarpoka,0,0
Tetri,0,1
Tetuliya,1,0
Thakurtanr,1,0
Tharhi,0,0
Thekbahiyar,1,0
Thesapir,0,1
Thetha Tanr,0,0
Thethaitangar,1,0
Thopgram,0,15
Tilabad,1,3
Tilaki,0,2
Tilaksuti,0,5
Tilmi,0,0
Tiloboni,0,0
Tilsiri,0,1
Tinpatli,0,0
Tiurpahar,0,2
Tiyotola,0,7
Toklo,0,0
Tontoposi,0,0
Torar,0,1
Torpa CT,1,0
Toyra,0,1
Tulbula,0,1
Tulgram,0,0
Tumagara,1,0
Tundi,0,0
Tupra,1,0
Turio,0,2
Turkadih,0,0
Turtipur,0,18
Ubchuria,0,1
Uchri,0,1
Udaipura,0,1
Udalkam,0,1
Udaypur,0,0
Udhaua Diara,0,1
Udhua,1,3
Ukamar,0,0
Ukrid,0,2
Ulda,1,0
Uldanda,0,2
Umedanda,0,2
Uparbandha,0,0
Upraili Dhanwar,2,0
Urmi,1,0
Usra,0,3
Utka,0,0
Vinala,0,0
