S.No.,District Code,District Name,Sub-District Code,Sub-District Name,Village Code,Village Version,Village Name ,Village Name,Village Category,Village Status,Census 2001 Code,Census 2011 Code,
242,646,Balod,3322,Daundi,443317,1,Narralguda,नर्रालगुडा,Rural,Inhabitant,01221000,443317,
243,646,Balod,3322,Daundi,443299,1,Narratola,नर्राटोला,Rural,Inhabitant,01219000,443299,
244,646,Balod,3322,Daundi,443286,1,Nayapara Alias Kurrutola,नयापारा अलियास कुरुटोला,Rural,Inhabitant,01217700,443286,
245,646,Balod,3322,Daundi,443278,1,Odgaon,ओडगाँव,Rural,Inhabitant,01216900,443278,
246,646,Balod,3322,Daundi,443279,1,Pacheda,पचेडा,Rural,Inhabitant,01217000,443279,
247,646,Balod,3322,Daundi,443315,1,Paiwani,पैवानी,Rural,Inhabitant,01220800,443315,
248,646,Balod,3322,Daundi,931297,1,Pandardalli,पंडरदल्ली,Urban,Inhabitant,,000000,
249,646,Balod,3322,Daundi,443237,1,Pandel,पंदेल,Rural,Inhabitant,01212700,443237,
250,646,Balod,3322,Daundi,443345,3,Parkalkasa,परकलकसा,Rural,Inhabitant,01224000,443345,
251,646,Balod,3322,Daundi,443280,1,Pateli,पटेली,Rural,Inhabitant,01217100,443280,
